title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM 1-3,Expression UKESM1,Expression UKESM1-3,HadGEM3-GC31,HadGEM3-GC5,Model units,UKESM1,UKESM1-3
Variable aerosol.od550soa.tavg-u-hxy-u.mon.GLB (AERmon.od550soa),379,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/379,mon aerosol CMIP6,od550soa_tavg-u-hxy-u,atmosphere_optical_thickness_due_to_secondary_particulate_organic_matter_ambient_aerosol_particles,"""comment"" was ""Total organic aerosol AOD due to secondary aerosol at a wavelength of 550 nanometres."";",area: areacella,area: time: mean,total organic aerosol AOD due to secondary aerosol formation,longitude latitude time lambda550nm,mon,Particulate Organic Aerosol Optical Depth at 550nm,aerosol,,"CHANGE SINCE CMIP6 in CF Standard Name - CMIP6: atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles, CMIP7: atmosphere_optical_thickness_due_to_secondary_particulate_organic_matter_ambient_aerosol_particles,",GLB,1,CMIP6 CMOR variable,,,,,,,,,,
Variable aerosol.od550so4.tavg-u-hxy-u.mon.GLB (AERmon.od550so4),378,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/378,mon aerosol CMIP6,od550so4_tavg-u-hxy-u,atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,,area: areacella,area: time: mean,Total aerosol AOD due to sulfate aerosol at a wavelength of 550 nanometres.,longitude latitude time lambda550nm,mon,Sulfate Aerosol Optical Depth at 550nm,aerosol,,,GLB,1,CMIP6 CMOR variable,,,,,,,,,,
Variable aerosol.od550oa.tavg-u-hxy-u.mon.GLB (AERmon.od550oa),377,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/377,mon aerosol CMIP6,od550oa_tavg-u-hxy-u,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,"""comment"" was ""Total aerosol AOD due to organic aerosol at a wavelength of 550 nanometres."";",area: areacella,area: time: mean,"total organic aerosol AOD, comprises all organic aerosols, primary + secondary ; natural + anthropogenic including biomasss burning organic aerosol",longitude latitude time lambda550nm,mon,Total Organic Aerosol Optical Depth at 550nm,aerosol,,,GLB,1,CMIP6 CMOR variable,,,,,,,,,,
Variable aerosol.od550no3.tavg-u-hxy-u.mon.GLB (AERmon.od550no3),376,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/376,mon aerosol CMIP6,od550no3_tavg-u-hxy-u,atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol_particles,,area: areacella,area: time: mean,Total aerosol AOD due to nitrate aerosol at a wavelength of 550 nanometres.,longitude latitude time lambda550nm,mon,Nitrate Aerosol Optical Depth at 550nm,aerosol,,,GLB,1,CMIP6 CMOR variable,,,,,,,,,,
Variable aerosol.od550lt1aer.tavg-u-hxy-u.mon.GLB (AERmon.od550lt1aer),375,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/375,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,od550lt1aer_tavg-u-hxy-u,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol_particles,"""comment"" was ""od550 due to particles with wet diameter less than 1 um (ambient here means wetted). When models do not include explicit size information, it can be assumed that all anthropogenic aerosols and natural secondary aerosols have diameter less than 1 um."";",area: areacella,area: time: mean,"od550 due to particles with wet diameter less than 1 um (""ambient"" means ""wetted""). When models do not include explicit size information, it can be assumed that all anthropogenic aerosols and natural secondary aerosols have diameter less than 1 um.",longitude latitude time lambda550nm,mon,Ambient Fine Aerosol Optical Depth at 550nm,aerosol,,,GLB,1,CMIP6 CMOR variable,"m01s02i300[lbplev=3, lbproc=128] + m01s02i301[lbplev=3, lbproc=128] + m01s02i303[lbplev=3, lbproc=128]","m01s02i300[lbplev=3, lbproc=128] + m01s02i301[lbplev=3, lbproc=128] + m01s02i303[lbplev=3, lbproc=128]",,"m01s02i300[lbplev=3, lbproc=128] + m01s02i301[lbplev=3, lbproc=128] + m01s02i303[lbplev=3, lbproc=128]","m01s02i300[lbplev=3, lbproc=128] + m01s02i301[lbplev=3, lbproc=128] + m01s02i303[lbplev=3, lbproc=128]",,,1,,
Variable aerosol.od550dust.tavg-u-hxy-u.mon.GLB (AERmon.od550dust),374,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/374,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,od550dust_tavg-u-hxy-u,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,,area: areacella,area: time: mean,Total aerosol AOD due to dust aerosol at a wavelength of 550 nanometres.,longitude latitude time lambda550nm,mon,Dust Optical Thickness at 550nm,aerosol,,,GLB,1,CMIP6 CMOR variable,"m01s02i285[lbplev=3, lbproc=128]","m01s02i285[lbplev=3, lbproc=128]",,"m01s02i285[lbplev=3, lbproc=128]","m01s02i285[lbplev=3, lbproc=128]",,,1,,
Variable aerosol.od550csaer.tavg-u-hxy-u.mon.GLB (AERmon.od550csaer),373,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/373,mon aerosol CMIP6,od550csaer_tavg-u-hxy-u,atmosphere_optical_thickness_due_to_ambient_aerosol_particles_assuming_clear_sky,"""comment"" was ""AOD from the ambient aerosols in clear skies if od550aer is for all-sky (i.e., includes aerosol water). Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute 'wavelength: 550nm'"";",area: areacella,area: time: mean,"AOD from the ambient aerosols in clear skies if od550aer is for all-sky (i.e., includes aerosol water). Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute ""wavelength: 550 nm""",longitude latitude time lambda550nm,mon,Ambient Aerosol Optical Thickness at 550nm,aerosol,,"CHANGE SINCE CMIP6 in CF Standard Name - CMIP6: atmosphere_optical_thickness_due_to_secondary_particulate_organic_matter_ambient_aerosol_particles, CMIP7: atmosphere_optical_thickness_due_to_ambient_aerosol_particles_assuming_clear_sky,",GLB,1,CMIP6 CMOR variable,,,,,,,,,,
Variable aerosol.od550bc.tavg-u-hxy-u.mon.GLB (AERmon.od550bc),372,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/372,mon aerosol CMIP6,od550bc_tavg-u-hxy-u,atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,,area: areacella,area: time: mean,Total aerosol AOD due to black carbon aerosol at a wavelength of 550 nanometres.,longitude latitude time lambda550nm,mon,Black Carbon Optical Thickness at 550nm,aerosol,,,GLB,1,CMIP6 CMOR variable,,,,,,,,,,
Variable aerosol.od550bb.tavg-u-hxy-u.mon.GLB (AERmon.od550bb),371,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/371,mon aerosol CMIP6,od550bb_tavg-u-hxy-u,atmosphere_optical_thickness_due_to_biomass_burning_particulate_matter_ambient_aerosol_particles,,area: areacella,area: time: mean,"total organic aerosol AOD due to biomass burning (excluding so4, nitrate BB components)",longitude latitude time lambda550nm,mon,Aerosol Optical Depth at 550nm Due to Biomass Burning,aerosol,,"CHANGE SINCE CMIP6 in CF Standard Name - CMIP6: atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles, CMIP7: atmosphere_optical_thickness_due_to_biomass_burning_particulate_matter_ambient_aerosol_particles,",GLB,1,CMIP6 CMOR variable,,,,,,,,,,
Variable aerosol.od550aerh2o.tavg-u-hxy-u.mon.GLB (AERmon.od550aerh2o),370,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/370,mon aerosol CMIP6,od550aerh2o_tavg-u-hxy-u,atmosphere_optical_thickness_due_to_water_in_ambient_aerosol_particles,,area: areacella,area: time: mean,proposed name: atmosphere_optical_thickness_due_to_water_ambient_aerosol,longitude latitude time lambda550nm,mon,Aerosol Water Optical Thickness at 550nm,aerosol,,,GLB,1,CMIP6 CMOR variable,,,,,,,,,,
Variable aerosol.od550aer.tavg-u-hxy-u.mon.GLB (AERmon.od550aer),369,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/369,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,od550aer_tavg-u-hxy-u,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,"""comment"" was ""AOD from the ambient aerosols (i.e., includes aerosol water). Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute 'wavelength: 550nm'"";",area: areacella,area: time: mean,"AOD from ambient aerosols (i.e., includes aerosol water). Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute ""wavelength: 550 nm""",longitude latitude time lambda550nm,mon,Ambient Aerosol Optical Thickness at 550nm,aerosol,,,GLB,1,CMIP6 CMOR variable,"m01s02i285[lbplev=3, lbproc=128] + m01s02i300[lbplev=3, lbproc=128] + m01s02i301[lbplev=3, lbproc=128] + m01s02i302[lbplev=3, lbproc=128] + m01s02i303[lbplev=3, lbproc=128]","m01s02i285[lbplev=3, lbproc=128] + m01s02i300[lbplev=3, lbproc=128] + m01s02i301[lbplev=3, lbproc=128] + m01s02i302[lbplev=3, lbproc=128] + m01s02i303[lbplev=3, lbproc=128]",,"m01s02i285[lbplev=3, lbproc=128] + m01s02i300[lbplev=3, lbproc=128] + m01s02i301[lbplev=3, lbproc=128] + m01s02i302[lbplev=3, lbproc=128] + m01s02i303[lbplev=3, lbproc=128]","m01s02i285[lbplev=3, lbproc=128] + m01s02i300[lbplev=3, lbproc=128] + m01s02i301[lbplev=3, lbproc=128] + m01s02i302[lbplev=3, lbproc=128] + m01s02i303[lbplev=3, lbproc=128]",,,1,,
Variable aerosol.od443aer.tavg-u-hxy-u.mon.GLB (AERmon.od443aer),368,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/368,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,od443aer_tavg-u-hxy-u,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,"""dimensions"" was ""longitude latitude time""; ; ""comment"" was ""AOD from the ambient aerosols (i.e., includes aerosol water). Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute 'wavelength: 440nm'""; ; ""long_name"" was ""Ambient Aerosol Optical Thickness at 440nm"";",area: areacella,area: time: mean,"This is the aerosol optical depth (AOD) from the ambient aerosls (i.e., includes aerosol water). Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute ""wavelength: 443 nm""",longitude latitude time lambda443nm,mon,Ambient Aerosol Optical Thickness at 443nm,aerosol,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time CMIP7:longitude latitude time lambda443nm, CHANGE SINCE CMIP6: compound name,",GLB,1,CMIP6 CMOR variable,"m01s02i285[lbplev=2, lbproc=128] + m01s02i300[lbplev=2, lbproc=128] + m01s02i301[lbplev=2, lbproc=128] + m01s02i302[lbplev=2, lbproc=128] + m01s02i303[lbplev=2, lbproc=128]",,,"m01s02i285[lbplev=2, lbproc=128] + m01s02i300[lbplev=2, lbproc=128] + m01s02i301[lbplev=2, lbproc=128] + m01s02i302[lbplev=2, lbproc=128] + m01s02i303[lbplev=2, lbproc=128]",,,,1,,
Variable atmosChem.o3ste.tavg-al-hxy-u.mon.GLB (AERmon.o3ste),367,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/367,mon atmosChem CMIP6,o3ste_tavg-al-hxy-u,mole_fraction_of_ozone_in_air,"""comment"" was ""Ozone tracer intended to map out strat-trop exchange (STE) of ozone. Set to ozone in the stratosphere, then destroyed in the troposphere using the ozone chemical loss rate. Please specify the tropopause definition used""; ; ""modeling_realm"" was ""aerosol"";",area: areacella,area: time: mean,Ozone tracer intended to map out strat-trop exchange (STE) of ozone.,longitude latitude alevel time,mon,Stratospheric Ozone Tracer Volume Mixing Ratio,atmosChem,,,GLB,mol mol-1,CMIP6 CMOR variable,,,,,,,,,,
Variable aerosol.o3prod.tavg-al-hxy-u.mon.GLB (AERmon.o3prod),366,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/366,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,o3prod_tavg-al-hxy-u,tendency_of_atmosphere_mole_concentration_of_ozone_due_to_chemical_production,"""comment"" was ""ONLY provide the sum of all the HO2/RO2 + NO reactions (as k*[HO2]*[NO])"";",area: areacella,area: time: mean,ONLY provide the sum of all the HO2/RO2 + NO reactions (as k\*[HO2]\*[NO]),longitude latitude alevel time,mon,O3 Production Rate,aerosol,,,GLB,mol m-3 s-1,CMIP6 CMOR variable,(m01s50i001[lbproc=128] + m01s50i003[lbproc=128] + m01s50i103[lbproc=128]) / m01s50i255[lbproc=128],(m01s50i001[lbproc=128] + m01s50i003[lbproc=128] + m01s50i103[lbproc=128]) / m01s50i255[lbproc=128],,(m01s50i001[lbproc=128] + m01s50i003[lbproc=128] + m01s50i103[lbproc=128]) / m01s50i255[lbproc=128],(m01s50i001[lbproc=128] + m01s50i003[lbproc=128] + m01s50i103[lbproc=128]) / m01s50i255[lbproc=128],,,mol m-3 s-1,,
Variable aerosol.o3loss.tavg-al-hxy-u.mon.GLB (AERmon.o3loss),365,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/365,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,o3loss_tavg-al-hxy-u,tendency_of_atmosphere_mole_concentration_of_ozone_due_to_chemical_destruction,,area: areacella,area: time: mean,"ONLY provide the sum of the following reactions: (i) O(1D)+H2O; (ii) O3+HO2; (iii) O3+OH; (iv) O3+alkenes (isoprene, ethene,...)",longitude latitude alevel time,mon,O3 Destruction Rate,aerosol,,,GLB,mol m-3 s-1,CMIP6 CMOR variable,(m01s50i011[lbproc=128] + m01s50i013[lbproc=128] + m01s50i014[lbproc=128] + m01s50i015[lbproc=128]) / m01s50i255[lbproc=128],(m01s50i011[lbproc=128] + m01s50i013[lbproc=128] + m01s50i014[lbproc=128] + m01s50i015[lbproc=128]) / m01s50i255[lbproc=128],,(m01s50i011[lbproc=128] + m01s50i013[lbproc=128] + m01s50i014[lbproc=128] + m01s50i015[lbproc=128]) / m01s50i255[lbproc=128],(m01s50i011[lbproc=128] + m01s50i013[lbproc=128] + m01s50i014[lbproc=128] + m01s50i015[lbproc=128]) / m01s50i255[lbproc=128],,,mol m-3 s-1,,
Variable atmosChem.o3.tpt-al-hxy-u.mon.GLB (AERmon.o3inst),364,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/364,mon atmosChem,o3_tpt-al-hxy-u,mole_fraction_of_ozone_in_air,Not present,area: areacella,area: mean time: point,"This is the mole fraction of ozone in air, sampled on the first day of the month as an instantaneous field.",longitude latitude alevel time1,mon,O3 volume mixing ratio,atmosChem,,"Note that this variable is an instantaneous field, sampled on the first day of each month, and not time-meaned over the month",GLB,mol mol-1,New,,,,,,,,,,
Variable atmosChem.o3.tavg-al-hxy-u.mon.GLB (AERmon.o3),363,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/363,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,o3_tavg-al-hxy-u,mole_fraction_of_ozone_in_air,,area: areacella,area: time: mean,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",longitude latitude alevel time,mon,Mole Fraction of O3,atmosChem,,,GLB,mol mol-1,CMIP6 CMOR variable,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s34i001[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s34i001[lbproc=128],,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s34i001[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s34i001[lbproc=128],,,mol mol-1,,
Variable aerosol.no2.tavg-al-hxy-u.mon.GLB (AERmon.no2),362,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/362,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,no2_tavg-al-hxy-u,mole_fraction_of_nitrogen_dioxide_in_air,,area: areacella,area: time: mean,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",longitude latitude alevel time,mon,NO2 Volume Mixing Ratio,aerosol,,,GLB,mol mol-1,CMIP6 CMOR variable,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_NO2) * m01s34i996[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_NO2) * m01s34i996[lbproc=128],,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_NO2) * m01s34i996[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_NO2) * m01s34i996[lbproc=128],,,mol mol-1,,
Variable aerosol.no.tavg-al-hxy-u.mon.GLB (AERmon.no),361,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/361,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,no_tavg-al-hxy-u,mole_fraction_of_nitrogen_monoxide_in_air,,area: areacella,area: time: mean,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",longitude latitude alevel time,mon,NO Volume Mixing Ratio,aerosol,,,GLB,mol mol-1,CMIP6 CMOR variable,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_NO) * m01s34i002[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_NO) * m01s34i002[lbproc=128],,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_NO) * m01s34i002[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_NO) * m01s34i002[lbproc=128],,,mol mol-1,,
Variable aerosol.nh50.tavg-al-hxy-u.mon.GLB (AERmon.nh50),360,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/360,mon aerosol CMIP6,nh50_tavg-al-hxy-u,mole_fraction_of_artificial_tracer_with_fixed_lifetime_in_air,,area: areacella,area: time: mean,"Fixed surface layer mixing ratio over 30o-50oN (100ppbv), uniform fixed 50-day exponential decay.",longitude latitude alevel time,mon,Artificial Tracer with 50 Day Lifetime,aerosol,,,GLB,mol mol-1,CMIP6 CMOR variable,,,,,,,,,,
Variable atmosChem.n2o.tavg-al-hxy-u.mon.GLB (AERmon.n2o),359,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/359,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,n2o_tavg-al-hxy-u,mole_fraction_of_nitrous_oxide_in_air,,area: areacella,area: time: mean,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y. The chemical formula of nitrous oxide is N2O.",longitude latitude alevel time,mon,Mole Fraction of N2O,atmosChem,,,GLB,mol mol-1,CMIP6 CMOR variable,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s34i049[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s34i049[lbproc=128],,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s34i049[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s34i049[lbproc=128],,,mol mol-1,,
Variable aerosol.mmrss.tavg-al-hxy-u.mon.GLB (AERmon.mmrss),358,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/358,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,mmrss_tavg-al-hxy-u,mass_fraction_of_sea_salt_dry_aerosol_particles_in_air,,area: areacella,area: time: mean,Mass fraction in the atmosphere of sea salt aerosol (dry mass).,longitude latitude alevel time,mon,Sea-Salt Aerosol Mass Mixing Ratio,aerosol,,,GLB,kg kg-1,CMIP6 CMOR variable,m01s34i111[lbproc=128] + m01s34i117[lbproc=128],m01s34i111[lbproc=128] + m01s34i117[lbproc=128],,m01s34i111[lbproc=128] + m01s34i117[lbproc=128],m01s34i111[lbproc=128] + m01s34i117[lbproc=128],,,kg kg-1,,
Variable aerosol.mmrsoa.tavg-al-hxy-u.mon.GLB (AERmon.mmrsoa),357,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/357,mon aerosol CMIP6,mmrsoa_tavg-al-hxy-u,mass_fraction_of_secondary_particulate_organic_matter_dry_aerosol_particles_in_air,,area: areacella,area: time: mean,Mass fraction in the atmosphere of secondary organic aerosols (particulate organic matter formed within the atmosphere from gaseous precursors; dry mass).,longitude latitude alevel time,mon,Secondary Organic Aerosol Mass Mixing Ratio,aerosol,,,GLB,kg kg-1,CMIP6 CMOR variable,,,,,,,,,,
Variable aerosol.mmrso4.tavg-al-hxy-u.mon.GLB (AERmon.mmrso4),356,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/356,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,mmrso4_tavg-al-hxy-u,mass_fraction_of_sulfate_dry_aerosol_particles_in_air,,area: areacella,area: time: mean,Dry mass of sulfate (SO4) in aerosol particles as a fraction of air mass.,longitude latitude alevel time,mon,Aerosol Sulfate Mass Mixing Ratio,aerosol,,,GLB,kg kg-1,CMIP6 CMOR variable,(MOLECULAR_MASS_OF_SO4 / MOLECULAR_MASS_OF_H2SO4) * (m01s34i102[lbproc=128] + m01s34i104[lbproc=128] + m01s34i108[lbproc=128] + m01s34i114[lbproc=128]),(MOLECULAR_MASS_OF_SO4 / MOLECULAR_MASS_OF_H2SO4) * (m01s34i102[lbproc=128] + m01s34i104[lbproc=128] + m01s34i108[lbproc=128] + m01s34i114[lbproc=128]),,(MOLECULAR_MASS_OF_SO4 / MOLECULAR_MASS_OF_H2SO4) * (m01s34i102[lbproc=128] + m01s34i104[lbproc=128] + m01s34i108[lbproc=128] + m01s34i114[lbproc=128]),(MOLECULAR_MASS_OF_SO4 / MOLECULAR_MASS_OF_H2SO4) * (m01s34i102[lbproc=128] + m01s34i104[lbproc=128] + m01s34i108[lbproc=128] + m01s34i114[lbproc=128]),,,kg kg-1,,
